Time resolution is 1 ps
Time: 773995000 | State: 10 | Score:  820 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 776425000 | State: 10 | Score:  820 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 781915000 | State: 10 | Score:  820 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 785585000 | State: 10 | Score:  832 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 787405000 | State: 10 | Score:  832 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 788635000 | State: 10 | Score:  845 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 789245000 | State: 10 | Score:  859 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 792895000 | State: 10 | Score:  859 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 798385000 | State: 10 | Score:  859 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 799615000 | State: 10 | Score:  874 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 803875000 | State: 10 | Score:  874 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 824015000 | State: 10 | Score:  875 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 870375000 | State: 10 | Score:  876 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 877685000 | State: 10 | Score:  876 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 883175000 | State: 10 | Score:  876 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 883595000 | State: 10 | Score:  878 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 886865000 | State: 10 | Score:  878 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 886875000 | State: 10 | Score:  881 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 887505000 | State: 10 | Score:  884 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 888755000 | State: 10 | Score:  884 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 889745000 | State: 10 | Score:  884 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 890365000 | State: 10 | Score:  889 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 895235000 | State: 10 | Score:  889 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 900725000 | State: 10 | Score:  889 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 903175000 | State: 10 | Score:  896 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 906215000 | State: 10 | Score:  896 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 906835000 | State: 10 | Score:  904 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 908665000 | State: 10 | Score:  912 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 911705000 | State: 10 | Score:  912 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 914155000 | State: 10 | Score:  921 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 917195000 | State: 10 | Score:  921 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 922685000 | State: 10 | Score:  921 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 928175000 | State: 10 | Score:  921 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 928185000 | State: 10 | Score:  933 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 933065000 | State: 10 | Score:  945 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 933075000 | State: 10 | Score:  945 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 933675000 | State: 10 | Score:  959 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 935505000 | State: 10 | Score:  972 | Level: 13 | Life Span:         60 | Gen Interval:         60
